date,server_id,environment,region,cpu_usage,memory_usage,disk_usage,network_in_mb,network_out_mb,requests_per_min,active_users,response_time_ms,error_rate_percent
2024-01-15,app-server-01,production,ap-south-1,23.88,39.74,35.58,128.64,87.05,744,187,241.27,0.44
2024-01-15,app-server-02,production,ap-south-1,29.27,42.64,36.88,133.68,98.1,806,179,253.05,0.44
2024-01-16,app-server-01,production,ap-south-1,23.71,43.7,35.77,129.14,96.14,684,146,233.05,0.59
2024-01-16,app-server-02,production,ap-south-1,25.89,40.86,37.03,112.52,88.48,666,155,237.29,0.46
2024-01-17,app-server-01,production,ap-south-1,26.41,42.94,36.25,132.58,88.48,791,147,260.58,0.35
2024-01-17,app-server-02,production,ap-south-1,25.65,41.19,33.81,120.16,108.11,713,154,231.5,0.32
2024-01-18,app-server-01,production,ap-south-1,19.16,41.02,33.82,116.4,112.22,742,171,218.08,0.41
2024-01-18,app-server-02,production,ap-south-1,25.33,39.65,36.57,122.14,99.64,699,134,215.44,0.37
2024-01-19,app-server-01,production,ap-south-1,26.12,41.44,35.33,110.05,86.31,566,146,256.6,0.37
2024-01-19,app-server-02,production,ap-south-1,27.4,37.29,31.93,106.32,102.76,780,153,245.23,0.46
2024-01-20,app-server-01,production,ap-south-1,24.73,38.78,34.26,119.62,103.2,653,156,246.88,0.58
2024-01-20,app-server-02,production,ap-south-1,30.38,42.31,36.87,138.97,97.38,824,174,254.14,0.48
2024-01-21,app-server-01,production,ap-south-1,29.84,40.37,35.93,117.34,99.13,769,147,251.26,0.44
2024-01-21,app-server-02,production,ap-south-1,22.47,39.23,40.5,137.11,98.24,741,173,239.74,0.37
2024-01-22,app-server-01,production,ap-south-1,30.06,39.29,33.64,116.11,102.22,746,149,244.36,0.46
2024-01-22,app-server-02,production,ap-south-1,29.09,41.15,33.2,124.34,104.32,759,174,238.64,0.49
2024-01-23,app-server-01,production,ap-south-1,29.7,40.32,34.64,132.29,105.75,734,132,245.56,0.49
2024-01-23,app-server-02,production,ap-south-1,19.58,42.88,39.74,127.64,98.93,736,160,241.26,0.43
2024-01-24,app-server-01,production,ap-south-1,28.75,45.11,36.39,123.32,91.13,735,161,254.41,0.4
2024-01-24,app-server-02,production,ap-south-1,20.31,41.66,36.66,130.92,94.73,702,163,239.1,0.53
2024-01-25,app-server-01,production,ap-south-1,23.83,42.1,39.18,132.01,92.89,708,184,242.23,0.69
2024-01-25,app-server-02,production,ap-south-1,22.99,40.34,37.55,111.97,109.99,753,148,256.57,0.24
2024-01-26,app-server-01,production,ap-south-1,27.45,42.25,33.37,123.89,94.11,716,146,248.53,0.61
2024-01-26,app-server-02,production,ap-south-1,19.95,42.49,37.96,131.55,91.0,772,157,230.24,0.49
2024-01-27,app-server-01,production,ap-south-1,22.55,38.25,36.43,130.46,114.64,650,166,241.55,0.45
2024-01-27,app-server-02,production,ap-south-1,30.67,41.27,37.55,128.49,89.04,766,161,242.73,0.51
2024-01-28,app-server-01,production,ap-south-1,30.26,41.37,37.24,126.06,111.3,838,166,221.04,0.54
2024-01-28,app-server-02,production,ap-south-1,29.14,39.58,33.33,136.66,93.2,730,191,241.39,0.52
2024-01-29,app-server-01,production,ap-south-1,28.51,38.93,38.36,124.73,92.83,773,133,250.75,0.63
2024-01-29,app-server-02,production,ap-south-1,25.31,39.74,34.45,123.78,105.73,829,161,239.79,0.39
2024-01-30,app-server-01,production,ap-south-1,25.37,42.49,37.02,127.81,101.36,747,153,259.1,0.51
2024-01-30,app-server-02,production,ap-south-1,24.84,44.06,36.69,117.55,100.86,628,166,227.9,0.48
2024-01-31,app-server-01,production,ap-south-1,27.66,37.82,35.62,113.56,109.99,824,141,231.61,0.41
2024-01-31,app-server-02,production,ap-south-1,31.45,40.4,39.49,123.55,98.84,702,166,267.05,0.65
2024-02-01,app-server-01,production,ap-south-1,19.67,39.56,35.04,118.18,100.82,729,146,210.16,0.51
2024-02-01,app-server-02,production,ap-south-1,28.56,40.94,35.77,127.41,95.99,826,164,259.94,0.56
2024-02-02,app-server-01,production,ap-south-1,25.75,41.3,38.96,130.78,89.19,770,154,243.63,0.57
2024-02-02,app-server-02,production,ap-south-1,30.06,38.35,37.13,112.99,96.56,734,120,246.05,0.45
2024-02-03,app-server-01,production,ap-south-1,26.32,41.01,36.77,111.03,87.69,798,173,242.66,0.58
2024-02-03,app-server-02,production,ap-south-1,30.28,40.28,35.43,128.31,89.79,773,125,244.74,0.55
2024-02-04,app-server-01,production,ap-south-1,25.45,41.83,36.93,118.07,101.48,710,140,239.28,0.66
2024-02-04,app-server-02,production,ap-south-1,26.03,42.98,38.96,127.42,91.45,735,157,236.28,0.45
2024-02-05,app-server-01,production,ap-south-1,22.95,38.76,35.79,134.09,105.27,699,171,238.45,0.41
2024-02-05,app-server-02,production,ap-south-1,27.75,41.05,34.99,101.63,99.3,794,162,226.27,0.46
2024-02-06,app-server-01,production,ap-south-1,25.53,38.44,37.9,100.87,108.5,758,152,242.96,0.61
2024-02-06,app-server-02,production,ap-south-1,26.22,41.87,37.73,135.85,100.62,778,164,244.81,0.54
2024-02-07,app-server-01,production,ap-south-1,27.14,43.07,37.52,135.46,84.4,682,159,234.48,0.66
2024-02-07,app-server-02,production,ap-south-1,28.23,46.08,38.23,114.98,81.78,661,171,238.26,0.5
2024-02-08,app-server-01,production,ap-south-1,28.93,44.78,38.41,126.9,105.83,713,143,254.55,0.42
2024-02-08,app-server-02,production,ap-south-1,29.15,42.25,35.07,136.88,104.29,734,162,239.81,0.44
2024-02-09,app-server-01,production,ap-south-1,22.05,38.14,41.87,125.45,101.69,777,174,223.36,0.58
2024-02-09,app-server-02,production,ap-south-1,25.6,38.34,38.98,110.54,117.01,775,182,244.0,0.42
2024-02-10,app-server-01,production,ap-south-1,26.37,39.75,38.59,132.41,93.13,738,162,258.55,0.42
2024-02-10,app-server-02,production,ap-south-1,29.94,42.55,36.03,101.37,90.72,749,170,260.4,0.5
2024-02-11,app-server-01,production,ap-south-1,27.95,44.07,33.6,128.0,103.14,701,146,247.11,0.63
2024-02-11,app-server-02,production,ap-south-1,24.78,41.02,39.02,119.03,92.57,705,162,236.73,0.48
2024-02-12,app-server-01,production,ap-south-1,30.58,43.23,36.23,126.82,112.1,669,160,250.23,0.48
2024-02-12,app-server-02,production,ap-south-1,27.75,41.39,38.64,125.01,109.25,698,154,227.28,0.57
2024-02-13,app-server-01,production,ap-south-1,25.44,40.93,36.8,114.37,105.19,710,142,264.65,0.69
2024-02-13,app-server-02,production,ap-south-1,21.83,39.75,36.21,137.48,101.29,849,190,230.88,0.43
2024-02-14,app-server-01,production,ap-south-1,27.1,42.03,39.79,140.58,105.32,763,167,248.03,0.53
2024-02-14,app-server-02,production,ap-south-1,28.56,43.59,34.98,125.37,98.64,637,156,231.93,0.47
2024-02-15,app-server-01,production,ap-south-1,28.68,41.53,41.23,124.96,110.41,786,183,246.49,0.4
2024-02-15,app-server-02,production,ap-south-1,32.75,40.3,36.24,126.73,90.04,767,174,263.75,0.57
2024-02-16,app-server-01,production,ap-south-1,27.92,43.89,36.39,129.14,104.13,754,158,250.52,0.57
2024-02-16,app-server-02,production,ap-south-1,25.07,40.13,36.94,110.53,88.4,696,164,223.58,0.37
2024-02-17,app-server-01,production,ap-south-1,29.66,40.16,37.22,134.49,92.09,902,172,245.87,0.52
2024-02-17,app-server-02,production,ap-south-1,30.33,42.9,41.85,123.43,83.06,645,163,258.65,0.62
2024-02-18,app-server-01,production,ap-south-1,28.88,42.49,37.17,117.26,94.24,768,186,243.06,0.45
2024-02-18,app-server-02,production,ap-south-1,23.47,44.41,40.98,121.05,93.15,716,160,238.15,0.33
2024-02-19,app-server-01,production,ap-south-1,29.06,40.81,39.16,115.85,96.44,725,181,229.83,0.43
2024-02-19,app-server-02,production,ap-south-1,25.69,38.72,36.01,143.23,109.75,779,171,228.29,0.43
2024-02-20,app-server-01,production,ap-south-1,27.51,41.68,38.04,129.36,103.78,838,176,233.87,0.23
2024-02-20,app-server-02,production,ap-south-1,32.12,40.67,37.22,140.02,93.31,808,163,252.16,0.56
2024-02-21,app-server-01,production,ap-south-1,28.64,43.38,40.74,139.39,83.93,862,167,245.54,0.46
2024-02-21,app-server-02,production,ap-south-1,28.53,41.03,40.89,128.22,95.08,600,195,239.56,0.54
2024-02-22,app-server-01,production,ap-south-1,25.64,43.03,40.78,116.22,90.7,697,156,232.98,0.7
2024-02-22,app-server-02,production,ap-south-1,30.5,44.45,39.85,131.0,101.99,807,184,227.56,0.45
2024-02-23,app-server-01,production,ap-south-1,29.33,45.53,43.0,124.76,94.64,909,157,253.19,0.57
2024-02-23,app-server-02,production,ap-south-1,30.98,42.46,39.87,126.54,103.19,725,200,230.37,0.3
2024-02-24,app-server-01,production,ap-south-1,29.24,40.62,35.21,142.0,107.74,736,163,240.73,0.64
2024-02-24,app-server-02,production,ap-south-1,29.28,40.68,39.6,129.46,113.84,679,201,255.92,0.44
2024-02-25,app-server-01,production,ap-south-1,27.36,41.46,40.59,121.76,91.26,658,159,254.61,0.37
2024-02-25,app-server-02,production,ap-south-1,32.31,40.86,40.57,121.99,100.79,786,184,245.99,0.57
2024-02-26,app-server-01,production,ap-south-1,29.72,43.22,38.64,122.54,116.41,823,180,240.65,0.58
2024-02-26,app-server-02,production,ap-south-1,25.07,40.06,41.74,123.37,89.12,685,163,231.95,0.37
2024-02-27,app-server-01,production,ap-south-1,21.63,43.92,34.06,109.64,96.76,908,178,220.96,0.42
2024-02-27,app-server-02,production,ap-south-1,25.42,44.76,40.77,124.76,96.09,896,173,226.61,0.51
2024-02-28,app-server-01,production,ap-south-1,27.1,43.87,39.17,105.89,108.9,774,160,260.73,0.49
2024-02-28,app-server-02,production,ap-south-1,27.32,43.83,39.98,122.9,109.5,790,139,233.22,0.51
2024-02-29,app-server-01,production,ap-south-1,28.46,42.62,39.27,140.94,94.29,766,158,233.9,0.61
2024-02-29,app-server-02,production,ap-south-1,30.82,40.96,34.06,120.1,101.01,844,191,245.59,0.43
2024-03-01,app-server-01,production,ap-south-1,28.74,45.22,39.24,121.15,97.24,735,175,239.94,0.48
2024-03-01,app-server-02,production,ap-south-1,28.41,46.23,40.64,142.35,98.15,722,176,230.82,0.56
2024-03-02,app-server-01,production,ap-south-1,28.5,45.07,37.22,147.46,111.08,781,174,228.13,0.64
2024-03-02,app-server-02,production,ap-south-1,27.0,40.27,39.33,121.75,84.0,804,189,239.05,0.4
2024-03-03,app-server-01,production,ap-south-1,23.25,42.85,34.69,126.76,105.51,680,161,221.82,0.54
2024-03-03,app-server-02,production,ap-south-1,22.29,44.04,37.64,117.6,97.89,862,183,236.21,0.61
2024-03-04,app-server-01,production,ap-south-1,25.58,40.0,34.43,114.8,112.4,847,196,216.52,0.55
2024-03-04,app-server-02,production,ap-south-1,22.75,43.11,38.74,134.09,103.67,732,155,254.69,0.47
2024-03-05,app-server-01,production,ap-south-1,25.32,40.29,43.08,128.13,105.96,740,200,244.05,0.46
2024-03-05,app-server-02,production,ap-south-1,26.35,41.69,42.37,111.41,85.17,805,167,248.69,0.35
2024-03-06,app-server-01,production,ap-south-1,29.01,44.79,42.06,130.64,95.08,812,148,257.13,0.51
2024-03-06,app-server-02,production,ap-south-1,26.28,43.43,37.23,120.5,99.56,748,169,239.41,0.64
2024-03-07,app-server-01,production,ap-south-1,25.76,41.57,38.33,115.33,94.24,813,177,263.1,0.63
2024-03-07,app-server-02,production,ap-south-1,30.15,42.31,38.3,120.73,109.87,879,133,250.59,0.51
2024-03-08,app-server-01,production,ap-south-1,25.71,42.76,38.92,137.6,109.28,827,143,242.13,0.43
2024-03-08,app-server-02,production,ap-south-1,26.52,40.68,39.52,133.42,98.95,790,157,235.13,0.63
2024-03-09,app-server-01,production,ap-south-1,28.16,45.75,36.37,115.89,106.34,771,162,235.2,0.39
2024-03-09,app-server-02,production,ap-south-1,31.86,44.45,40.39,108.16,106.88,754,192,245.78,0.53
2024-03-10,app-server-01,production,ap-south-1,23.86,44.27,44.11,120.03,89.71,755,196,238.5,0.61
2024-03-10,app-server-02,production,ap-south-1,23.54,39.42,36.66,124.1,105.28,801,176,223.52,0.42
2024-03-11,app-server-01,production,ap-south-1,31.35,42.74,39.93,119.5,109.62,838,189,241.92,0.49
2024-03-11,app-server-02,production,ap-south-1,29.7,42.16,36.1,126.34,118.01,735,192,240.14,0.44
2024-03-12,app-server-01,production,ap-south-1,29.79,43.12,40.98,118.93,109.79,763,197,233.74,0.53
2024-03-12,app-server-02,production,ap-south-1,24.55,41.02,37.83,122.98,104.49,787,143,237.04,0.58
2024-03-13,app-server-01,production,ap-south-1,26.47,42.89,41.03,124.3,99.35,757,184,246.53,0.53
2024-03-13,app-server-02,production,ap-south-1,28.77,38.97,41.25,130.89,105.28,728,159,221.96,0.79
2024-03-14,app-server-01,production,ap-south-1,30.17,37.79,38.4,133.64,106.89,836,182,239.08,0.33
2024-03-14,app-server-02,production,ap-south-1,25.99,38.65,42.34,131.36,104.78,728,199,256.98,0.44
2024-03-15,app-server-01,production,ap-south-1,32.85,42.1,40.41,123.67,97.49,873,174,238.83,0.57
2024-03-15,app-server-02,production,ap-south-1,26.73,43.04,39.84,130.08,108.91,791,147,231.94,0.48
2024-03-16,app-server-01,production,ap-south-1,25.42,40.62,40.79,141.87,96.01,792,210,230.78,0.56
2024-03-16,app-server-02,production,ap-south-1,26.91,43.75,41.11,120.55,91.81,866,192,232.25,0.55
2024-03-17,app-server-01,production,ap-south-1,28.92,41.28,38.14,120.18,100.36,853,188,240.27,0.71
2024-03-17,app-server-02,production,ap-south-1,29.94,43.23,37.56,140.63,103.59,774,157,242.74,0.65
2024-03-18,app-server-01,production,ap-south-1,26.91,41.15,43.0,136.13,95.38,831,164,236.24,0.64
2024-03-18,app-server-02,production,ap-south-1,33.16,42.54,37.61,131.16,95.63,734,170,240.93,0.73
2024-03-19,app-server-01,production,ap-south-1,24.95,42.21,40.91,126.97,103.48,836,207,251.38,0.48
2024-03-19,app-server-02,production,ap-south-1,27.93,42.03,40.25,130.89,102.97,754,159,230.46,0.57
2024-03-20,app-server-01,production,ap-south-1,36.72,44.09,43.31,133.41,95.77,812,171,250.44,0.73
2024-03-20,app-server-02,production,ap-south-1,31.1,43.53,42.38,129.21,109.91,774,175,256.44,0.42
2024-03-21,app-server-01,production,ap-south-1,29.42,44.89,39.52,121.61,96.31,761,163,238.03,0.64
2024-03-21,app-server-02,production,ap-south-1,30.05,41.98,42.95,138.05,106.46,835,193,236.58,0.57
2024-03-22,app-server-01,production,ap-south-1,30.53,40.5,35.31,131.93,102.84,763,196,251.97,0.33
2024-03-22,app-server-02,production,ap-south-1,27.38,44.02,39.65,131.98,100.85,858,161,232.12,0.36
2024-03-23,app-server-01,production,ap-south-1,32.25,37.02,36.2,121.96,85.72,769,181,230.24,0.56
2024-03-23,app-server-02,production,ap-south-1,25.54,40.96,43.07,115.95,104.21,776,166,250.59,0.57
2024-03-24,app-server-01,production,ap-south-1,30.65,45.11,43.26,132.34,106.39,791,172,254.63,0.38
2024-03-24,app-server-02,production,ap-south-1,28.69,41.14,39.35,131.04,98.05,890,211,234.72,0.44
2024-03-25,app-server-01,production,ap-south-1,31.2,41.36,39.55,117.03,106.08,643,167,240.13,0.42
2024-03-25,app-server-02,production,ap-south-1,24.55,45.84,37.29,140.35,101.72,836,169,240.52,0.42
2024-03-26,app-server-01,production,ap-south-1,30.99,43.44,39.15,147.26,98.66,670,184,249.54,0.63
2024-03-26,app-server-02,production,ap-south-1,30.0,44.85,39.28,139.19,100.01,798,192,222.48,0.52
2024-03-27,app-server-01,production,ap-south-1,26.03,45.84,39.33,118.84,104.04,748,169,231.41,0.45
2024-03-27,app-server-02,production,ap-south-1,24.09,47.78,42.54,132.59,102.52,778,159,246.27,0.39
2024-03-28,app-server-01,production,ap-south-1,26.34,44.33,40.02,132.81,109.22,875,190,240.68,0.58
2024-03-28,app-server-02,production,ap-south-1,29.34,40.22,42.66,143.81,106.65,713,151,249.47,0.46
2024-03-29,app-server-01,production,ap-south-1,25.63,43.18,39.33,129.56,98.37,750,172,238.41,0.36
2024-03-29,app-server-02,production,ap-south-1,33.77,45.52,34.36,142.3,105.11,842,194,247.39,0.75
2024-03-30,app-server-01,production,ap-south-1,31.49,46.22,40.16,130.53,105.32,797,187,238.51,0.53
2024-03-30,app-server-02,production,ap-south-1,32.9,43.84,42.09,136.34,90.56,808,175,246.08,0.73
2024-03-31,app-server-01,production,ap-south-1,35.0,41.73,40.24,127.93,96.71,841,181,240.39,0.61
2024-03-31,app-server-02,production,ap-south-1,32.22,43.98,42.8,137.04,113.82,780,197,244.65,0.72
2024-04-01,app-server-01,production,ap-south-1,37.86,43.24,42.24,132.47,112.39,838,182,248.65,0.64
2024-04-01,app-server-02,production,ap-south-1,30.77,44.09,38.46,125.81,97.38,900,202,239.33,0.6
2024-04-02,app-server-01,production,ap-south-1,31.31,46.28,38.75,127.92,109.89,882,192,237.72,0.62
2024-04-02,app-server-02,production,ap-south-1,29.92,45.95,43.24,138.32,103.96,855,164,234.95,0.61
2024-04-03,app-server-01,production,ap-south-1,27.48,40.5,38.71,153.55,103.96,882,164,233.83,0.6
2024-04-03,app-server-02,production,ap-south-1,26.56,42.96,42.32,140.78,106.38,847,180,233.36,0.53
2024-04-04,app-server-01,production,ap-south-1,25.49,44.37,44.0,114.19,122.35,751,214,242.08,0.52
2024-04-04,app-server-02,production,ap-south-1,37.86,42.58,41.25,131.57,95.73,827,189,244.52,0.61
2024-04-05,app-server-01,production,ap-south-1,31.79,45.41,41.12,160.16,101.95,763,182,240.2,0.65
2024-04-05,app-server-02,production,ap-south-1,31.1,39.91,40.77,129.57,121.8,815,194,256.98,0.49
2024-04-06,app-server-01,production,ap-south-1,23.95,38.95,39.0,130.37,103.96,775,176,234.95,0.48
2024-04-06,app-server-02,production,ap-south-1,28.06,42.26,45.02,129.81,97.82,753,171,245.01,0.4
2024-04-07,app-server-01,production,ap-south-1,29.48,41.9,41.2,141.38,101.86,765,179,226.51,0.64
2024-04-07,app-server-02,production,ap-south-1,30.33,42.97,41.26,121.47,107.8,787,198,236.05,0.43
2024-04-08,app-server-01,production,ap-south-1,26.55,46.23,41.74,129.28,103.84,785,203,265.35,0.36
2024-04-08,app-server-02,production,ap-south-1,27.96,45.83,42.04,117.87,105.4,837,183,243.9,0.39
2024-04-09,app-server-01,production,ap-south-1,25.83,41.99,43.26,136.63,87.07,771,198,236.53,0.49
2024-04-09,app-server-02,production,ap-south-1,32.18,44.63,42.71,137.16,101.5,748,177,245.25,0.49
2024-04-10,app-server-01,production,ap-south-1,31.13,47.32,42.34,132.13,110.19,759,196,253.4,0.63
2024-04-10,app-server-02,production,ap-south-1,25.16,41.67,43.0,136.34,105.65,812,170,247.12,0.44
2024-04-11,app-server-01,production,ap-south-1,27.95,46.99,42.41,120.02,106.34,767,189,233.84,0.51
2024-04-11,app-server-02,production,ap-south-1,31.69,46.94,41.2,130.62,97.54,893,208,258.83,0.51
2024-04-12,app-server-01,production,ap-south-1,30.26,42.79,41.43,112.9,100.13,722,182,251.31,0.51
2024-04-12,app-server-02,production,ap-south-1,32.75,45.91,43.46,145.35,111.94,761,166,261.88,0.4
2024-04-13,app-server-01,production,ap-south-1,29.59,42.04,42.43,130.3,107.48,828,187,231.34,0.61
2024-04-13,app-server-02,production,ap-south-1,34.36,46.11,39.85,140.3,93.66,770,160,262.01,0.6
2024-04-14,app-server-01,production,ap-south-1,33.81,43.55,43.76,129.47,88.61,712,150,259.15,0.51
2024-04-14,app-server-02,production,ap-south-1,29.7,44.95,42.98,145.78,111.53,894,150,248.01,0.47
2024-04-15,app-server-01,production,ap-south-1,31.87,48.1,41.75,128.42,88.89,800,168,246.81,0.67
2024-04-15,app-server-02,production,ap-south-1,25.77,42.96,41.74,136.25,114.59,812,184,243.78,0.5
2024-04-16,app-server-01,production,ap-south-1,28.02,43.86,40.26,129.29,89.93,826,192,258.74,0.4
2024-04-16,app-server-02,production,ap-south-1,33.13,49.45,45.22,128.68,116.89,790,194,231.76,0.42
2024-04-17,app-server-01,production,ap-south-1,32.73,42.69,39.28,118.9,103.11,865,181,242.66,0.42
2024-04-17,app-server-02,production,ap-south-1,32.28,45.13,43.76,129.54,105.51,778,177,265.63,0.61
2024-04-18,app-server-01,production,ap-south-1,26.54,45.28,41.6,124.71,99.02,870,189,237.6,0.53
2024-04-18,app-server-02,production,ap-south-1,31.8,46.32,41.27,147.37,106.26,896,188,253.01,0.54
2024-04-19,app-server-01,production,ap-south-1,30.27,44.74,42.6,131.81,106.37,796,201,242.39,0.35
2024-04-19,app-server-02,production,ap-south-1,32.48,47.92,39.07,129.97,101.22,873,172,254.83,0.51
2024-04-20,app-server-01,production,ap-south-1,30.3,45.07,42.88,116.06,111.27,811,210,238.52,0.5
2024-04-20,app-server-02,production,ap-south-1,29.41,44.32,43.02,129.19,110.87,809,209,257.24,0.58
2024-04-21,app-server-01,production,ap-south-1,30.43,44.73,41.76,129.41,83.96,808,178,250.71,0.48
2024-04-21,app-server-02,production,ap-south-1,29.65,38.66,41.06,132.92,114.9,941,184,230.79,0.6
2024-04-22,app-server-01,production,ap-south-1,30.79,44.88,41.69,122.89,95.77,772,184,225.84,0.45
2024-04-22,app-server-02,production,ap-south-1,28.34,43.3,41.74,130.11,104.46,724,187,244.22,0.56
2024-04-23,app-server-01,production,ap-south-1,26.29,47.61,41.16,149.94,118.04,844,201,244.02,0.47
2024-04-23,app-server-02,production,ap-south-1,28.66,44.18,41.06,130.1,102.48,910,174,249.91,0.46
2024-04-24,app-server-01,production,ap-south-1,33.81,44.23,42.46,136.52,104.2,756,194,251.76,0.49
2024-04-24,app-server-02,production,ap-south-1,31.19,46.94,40.98,121.61,118.7,821,171,249.4,0.34
2024-04-25,app-server-01,production,ap-south-1,25.0,43.42,41.56,133.85,99.77,835,180,237.07,0.35
2024-04-25,app-server-02,production,ap-south-1,29.61,46.54,40.16,127.93,103.83,917,186,250.41,0.51
2024-04-26,app-server-01,production,ap-south-1,32.3,44.99,41.61,138.16,125.73,705,180,267.05,0.54
2024-04-26,app-server-02,production,ap-south-1,35.65,44.55,44.12,144.27,101.6,789,196,260.24,0.67
2024-04-27,app-server-01,production,ap-south-1,28.82,40.51,41.85,132.03,108.14,857,188,250.3,0.51
2024-04-27,app-server-02,production,ap-south-1,33.7,46.92,43.16,143.17,116.59,795,165,255.76,0.52
2024-04-28,app-server-01,production,ap-south-1,37.45,43.21,42.56,151.76,115.67,859,177,235.36,0.43
2024-04-28,app-server-02,production,ap-south-1,30.26,44.61,39.55,132.05,93.72,810,190,229.93,0.78
2024-04-29,app-server-01,production,ap-south-1,28.31,42.59,41.91,137.14,121.53,726,206,244.2,0.51
2024-04-29,app-server-02,production,ap-south-1,26.11,40.81,40.99,143.62,100.95,804,179,239.24,0.59
2024-04-30,app-server-01,production,ap-south-1,30.5,42.65,42.55,125.77,107.82,913,205,265.55,0.65
2024-04-30,app-server-02,production,ap-south-1,29.69,43.93,46.3,137.42,91.86,917,205,238.14,0.68
2024-05-01,app-server-01,production,ap-south-1,32.16,42.31,42.25,140.1,104.3,883,195,240.33,0.67
2024-05-01,app-server-02,production,ap-south-1,33.13,46.9,42.58,126.8,114.66,841,173,260.64,0.69
2024-05-02,app-server-01,production,ap-south-1,29.29,44.79,45.45,137.21,115.02,834,180,241.15,0.76
2024-05-02,app-server-02,production,ap-south-1,32.25,43.14,46.95,138.37,105.29,834,197,236.23,0.66
2024-05-03,app-server-01,production,ap-south-1,31.89,43.72,41.32,140.0,112.49,914,202,245.34,0.49
2024-05-03,app-server-02,production,ap-south-1,32.29,44.38,39.16,139.63,109.41,910,186,254.08,0.56
2024-05-04,app-server-01,production,ap-south-1,28.47,43.4,37.98,136.69,108.04,844,175,232.21,0.48
2024-05-04,app-server-02,production,ap-south-1,28.73,44.62,46.27,130.31,109.81,794,193,231.1,0.61
2024-05-05,app-server-01,production,ap-south-1,27.6,46.21,44.09,135.29,101.63,806,182,262.76,0.56
2024-05-05,app-server-02,production,ap-south-1,28.4,44.52,41.2,134.3,113.84,887,185,251.94,0.48
2024-05-06,app-server-01,production,ap-south-1,30.5,45.09,41.97,129.27,98.43,910,184,251.77,0.51
2024-05-06,app-server-02,production,ap-south-1,34.07,42.45,43.76,136.03,112.81,768,194,248.44,0.53
2024-05-07,app-server-01,production,ap-south-1,23.88,42.94,42.77,134.46,113.03,798,206,235.09,0.53
2024-05-07,app-server-02,production,ap-south-1,29.7,46.29,43.69,126.73,110.39,874,164,250.03,0.55
